student_id,student_name,division,course_code,faculty_id,class_date,is_present,session_number
STU001,Student 1,A,CS101,F001,2024-09-04,False,1
STU001,Student 1,A,CS101,F001,2024-09-09,False,2
STU001,Student 1,A,CS101,F001,2024-09-11,True,3
STU001,Student 1,A,CS101,F001,2024-09-16,False,4
STU001,Student 1,A,CS101,F001,2024-09-18,True,5
STU001,Student 1,A,CS101,F001,2024-09-23,False,6
STU001,Student 1,A,CS101,F001,2024-09-25,True,7
STU001,Student 1,A,CS101,F001,2024-09-30,True,8
STU001,Student 1,A,CS101,F001,2024-10-02,False,9
STU001,Student 1,A,CS101,F001,2024-10-07,True,10
STU001,Student 1,A,CS101,F001,2024-10-09,True,11
STU001,Student 1,A,CS101,F001,2024-10-14,False,12
STU001,Student 1,A,CS101,F001,2024-10-16,False,13
STU001,Student 1,A,CS101,F001,2024-10-21,False,14
STU001,Student 1,A,CS101,F001,2024-10-23,True,15
STU001,Student 1,A,CS101,F001,2024-10-28,True,16
STU001,Student 1,A,CS101,F001,2024-10-30,True,17
STU001,Student 1,A,CS101,F001,2024-11-04,True,18
STU001,Student 1,A,CS101,F001,2024-11-06,True,19
STU001,Student 1,A,CS101,F001,2024-11-11,False,20
STU001,Student 1,A,CS101,F001,2024-11-13,True,21
STU001,Student 1,A,CS101,F001,2024-11-18,True,22
STU001,Student 1,A,CS101,F001,2024-11-20,True,23
STU001,Student 1,A,CS101,F001,2024-11-25,True,24
STU001,Student 1,A,CS101,F001,2024-11-27,True,25
STU001,Student 1,A,CS101,F001,2024-12-02,True,26
STU001,Student 1,A,CS101,F001,2024-12-04,True,27
STU001,Student 1,A,CS101,F001,2024-12-09,True,28
STU001,Student 1,A,CS101,F001,2024-12-11,True,29
STU001,Student 1,A,CS101,F001,2024-12-16,True,30
STU002,Student 2,B,CS101,F003,2024-09-05,True,31
STU002,Student 2,B,CS101,F003,2024-09-10,True,32
STU002,Student 2,B,CS101,F003,2024-09-12,True,33
STU002,Student 2,B,CS101,F003,2024-09-17,True,34
STU002,Student 2,B,CS101,F003,2024-09-19,True,35
STU002,Student 2,B,CS101,F003,2024-09-24,True,36
STU002,Student 2,B,CS101,F003,2024-09-26,True,37
STU002,Student 2,B,CS101,F003,2024-10-01,True,38
STU002,Student 2,B,CS101,F003,2024-10-03,True,39
STU002,Student 2,B,CS101,F003,2024-10-08,True,40
STU002,Student 2,B,CS101,F003,2024-10-10,True,41
STU002,Student 2,B,CS101,F003,2024-10-15,True,42
STU002,Student 2,B,CS101,F003,2024-10-17,True,43
STU002,Student 2,B,CS101,F003,2024-10-22,True,44
STU002,Student 2,B,CS101,F003,2024-10-24,True,45
STU002,Student 2,B,CS101,F003,2024-10-29,False,46
STU002,Student 2,B,CS101,F003,2024-10-31,False,47
STU002,Student 2,B,CS101,F003,2024-11-05,True,48
STU002,Student 2,B,CS101,F003,2024-11-07,True,49
STU002,Student 2,B,CS101,F003,2024-11-12,True,50
STU002,Student 2,B,CS101,F003,2024-11-14,False,51
STU002,Student 2,B,CS101,F003,2024-11-19,True,52
STU002,Student 2,B,CS101,F003,2024-11-21,True,53
STU002,Student 2,B,CS101,F003,2024-11-26,False,54
STU002,Student 2,B,CS101,F003,2024-11-28,True,55
STU002,Student 2,B,CS101,F003,2024-12-03,True,56
STU002,Student 2,B,CS101,F003,2024-12-05,True,57
STU002,Student 2,B,CS101,F003,2024-12-10,True,58
STU002,Student 2,B,CS101,F003,2024-12-12,True,59
STU002,Student 2,B,CS101,F003,2024-12-17,True,60
STU002,Student 2,B,CS101,F003,2024-12-19,True,61
STU002,Student 2,B,CS101,F003,2024-12-24,True,62
STU002,Student 2,B,CS101,F003,2024-12-26,False,63
STU002,Student 2,B,CS101,F003,2024-12-31,True,64
STU002,Student 2,B,CS101,F003,2025-01-02,True,65
STU003,Student 3,B,CS101,F003,2024-09-05,True,66
STU003,Student 3,B,CS101,F003,2024-09-10,True,67
STU003,Student 3,B,CS101,F003,2024-09-12,True,68
STU003,Student 3,B,CS101,F003,2024-09-17,True,69
STU003,Student 3,B,CS101,F003,2024-09-19,True,70
STU003,Student 3,B,CS101,F003,2024-09-24,True,71
STU003,Student 3,B,CS101,F003,2024-09-26,True,72
STU003,Student 3,B,CS101,F003,2024-10-01,True,73
STU003,Student 3,B,CS101,F003,2024-10-03,True,74
STU003,Student 3,B,CS101,F003,2024-10-08,True,75
STU003,Student 3,B,CS101,F003,2024-10-10,True,76
STU003,Student 3,B,CS101,F003,2024-10-15,True,77
STU003,Student 3,B,CS101,F003,2024-10-17,True,78
STU003,Student 3,B,CS101,F003,2024-10-22,True,79
STU003,Student 3,B,CS101,F003,2024-10-24,True,80
STU003,Student 3,B,CS101,F003,2024-10-29,True,81
STU003,Student 3,B,CS101,F003,2024-10-31,False,82
STU003,Student 3,B,CS101,F003,2024-11-05,True,83
STU003,Student 3,B,CS101,F003,2024-11-07,True,84
STU003,Student 3,B,CS101,F003,2024-11-12,True,85
STU003,Student 3,B,CS101,F003,2024-11-14,True,86
STU003,Student 3,B,CS101,F003,2024-11-19,True,87
STU003,Student 3,B,CS101,F003,2024-11-21,True,88
STU003,Student 3,B,CS101,F003,2024-11-26,True,89
STU003,Student 3,B,CS101,F003,2024-11-28,True,90
STU003,Student 3,B,CS101,F003,2024-12-03,True,91
STU003,Student 3,B,CS101,F003,2024-12-05,True,92
STU003,Student 3,B,CS101,F003,2024-12-10,True,93
STU003,Student 3,B,CS101,F003,2024-12-12,True,94
STU003,Student 3,B,CS101,F003,2024-12-17,True,95
STU003,Student 3,B,CS101,F003,2024-12-19,True,96
STU003,Student 3,B,CS101,F003,2024-12-24,True,97
STU003,Student 3,B,CS101,F003,2024-12-26,True,98
STU003,Student 3,B,CS101,F003,2024-12-31,True,99
STU003,Student 3,B,CS101,F003,2025-01-02,True,100
STU004,Student 4,A,CS101,F001,2024-09-04,True,101
STU004,Student 4,A,CS101,F001,2024-09-09,True,102
STU004,Student 4,A,CS101,F001,2024-09-11,True,103
STU004,Student 4,A,CS101,F001,2024-09-16,False,104
STU004,Student 4,A,CS101,F001,2024-09-18,True,105
STU004,Student 4,A,CS101,F001,2024-09-23,True,106
STU004,Student 4,A,CS101,F001,2024-09-25,True,107
